step,time,Ua,Ub,Uc,Ia,Ib,Ic
0,0,-8.66025,8.66025,-4.69846,0,0,0.482963
1,0.00025,7.84591,-90.2585,82.4126,-0.0911178,-0.380203,0.471321
2,0.0005,15.6434,-93.358,77.7146,-0.0522642,-0.404508,0.456773
3,0.00075,23.3445,-95.882,72.5374,-0.0130885,-0.42632,0.439409
4,0.001,30.9017,-97.8148,66.9131,0.026168,-0.445503,0.419335
5,0.00125,38.2683,-99.1445,60.8761,0.0652631,-0.46194,0.396677
6,0.0015,45.399,-99.863,54.4639,0.103956,-0.475528,0.371572
7,0.00175,52.2499,-99.9657,47.7159,0.142008,-0.486185,0.344177
8,0.002,58.7785,-99.4522,40.6737,0.179184,-0.493844,0.31466
9,0.00225,64.9448,-98.3255,33.3807,0.215256,-0.498459,0.283203
10,0.0025,70.7107,-96.5926,25.8819,0.25,-0.5,0.25
11,0.00275,76.0406,-94.2641,18.2236,0.283203,-0.498459,0.215256
12,0.003,80.9017,-91.3545,10.4528,0.31466,-0.493844,0.179184
13,0.00325,85.264,-87.8817,2.61769,0.344177,-0.486185,0.142008
14,0.0035,89.1007,-83.8671,-5.2336,0.371572,-0.475528,0.103956
15,0.00375,92.388,-79.3353,-13.0526,0.396677,-0.46194,0.0652631
16,0.004,95.1057,-74.3145,-20.7912,0.419335,-0.445503,0.026168
17,0.00425,97.237,-68.8355,-28.4015,0.439409,-0.42632,-0.0130885
18,0.0045,98.7688,-62.932,-35.8368,0.456773,-0.404508,-0.0522642
19,0.00475,99.6917,-56.6406,-43.0511,0.471321,-0.380203,-0.0911178
20,0.005,100,-50,-50,0.482963,-0.353553,-0.12941
21,0.00525,99.6917,-43.0511,-56.6406,0.491627,-0.324724,-0.166903
22,0.0055,98.7688,-35.8368,-62.932,0.497261,-0.293893,-0.203368
23,0.00575,97.237,-28.4015,-68.8355,0.499829,-0.261249,-0.238579
24,0.006,95.1057,-20.7912,-74.3145,0.499315,-0.226995,-0.27232
25,0.00625,92.388,-13.0526,-79.3353,0.495722,-0.191342,-0.304381
26,0.0065,89.1007,-5.2336,-83.8671,0.489074,-0.154508,-0.334565
27,0.00675,85.264,2.61769,-87.8817,0.47941,-0.116723,-0.362687
28,0.007,80.9017,10.4528,-91.3545,0.46679,-0.0782172,-0.388573
